temp,core freq,arm freq,volt,sec
59.0,199.99512,600.16992,0.8563,714
58.0,250.000496,750.146496,0.8563,716
57.0,200.008304,600.117184,0.835,718
59.0,500.000992,1500.398464,0.8563,720
58.0,499.987808,1500.398464,0.8563,722
59.0,500.000992,1500.345728,0.8563,724
59.0,500.000992,1500.398464,0.8563,726
58.0,500.000992,1500.345728,0.8563,728
59.0,500.000992,1500.345728,0.8563,730
58.0,199.99512,600.117184,0.835,732
58.0,500.000992,1500.345728,0.8563,734
59.0,500.000992,1500.345728,0.8563,736
59.0,199.99512,600.16992,0.835,738
58.0,500.000992,1500.398464,0.8563,740
58.0,500.000992,1500.345728,0.8563,742
58.0,199.99512,750.199232,0.8563,744
58.0,199.99512,750.199232,0.8563,746
58.0,200.008304,1000.212864,0.8563,748
58.0,199.99512,600.16992,0.835,750
59.0,500.000992,1500.345728,0.8563,752
58.0,500.000992,1500.398464,0.8563,754
58.0,199.99512,600.16992,0.835,756
57.0,500.000992,1500.398464,0.8563,758
59.0,500.000992,1500.345728,0.8563,760
58.0,200.008304,600.16992,0.835,762
58.0,500.000992,1500.398464,0.8563,764
58.0,500.000992,1500.345728,0.8563,766
58.0,200.008304,600.16992,0.835,768
57.0,200.008304,600.16992,0.835,770
57.0,199.99512,600.16992,0.835,772
58.0,500.000992,1500.345728,0.8563,774
58.0,500.000992,1500.345728,0.8563,776
58.0,199.99512,600.117184,0.835,778
57.0,500.000992,1500.398464,0.8563,780
58.0,500.000992,1500.345728,0.8563,782
58.0,200.008304,600.16992,0.835,784
58.0,500.000992,1500.345728,0.8563,786
58.0,500.000992,1500.345728,0.8563,788
58.0,199.99512,600.117184,0.835,790
58.0,199.99512,600.16992,0.835,792
58.0,500.000992,1500.345728,0.8563,794
58.0,500.000992,1500.345728,0.8563,796
59.0,199.99512,600.16992,0.835,798
58.0,500.000992,1500.398464,0.8563,800
58.0,500.000992,1500.345728,0.8563,802
58.0,200.008304,600.16992,0.835,804
58.0,500.000992,1500.345728,0.8563,806
57.0,500.000992,1500.345728,0.8563,808
57.0,199.99512,600.117184,0.835,810
58.0,500.000992,1500.345728,0.8563,812
59.0,500.000992,1500.345728,0.8563,814
59.0,250.000496,750.146496,0.8563,816
58.0,500.000992,1500.345728,0.8563,818
58.0,500.000992,1500.398464,0.8563,820
58.0,500.000992,1500.398464,0.8563,822
58.0,500.000992,1500.345728,0.8563,824
58.0,500.000992,1500.398464,0.8563,826
58.0,199.99512,600.16992,0.8563,828
58.0,500.000992,1500.398464,0.8563,830
59.0,500.000992,1500.345728,0.8563,832
59.0,500.000992,1500.345728,0.8563,834
59.0,500.000992,1500.345728,0.8563,836
58.0,499.987808,1500.398464,0.8563,838
59.0,500.000992,1500.398464,0.8563,840
57.0,199.99512,600.117184,0.835,842
59.0,500.000992,1500.345728,0.8563,844
59.0,500.000992,1500.345728,0.8563,846
58.0,199.99512,600.16992,0.835,848
58.0,500.000992,1500.398464,0.8563,850
59.0,500.000992,1500.345728,0.8563,852
58.0,199.99512,600.117184,0.8563,854
59.0,200.008304,600.117184,0.835,856
58.0,500.000992,1500.398464,0.8563,858
59.0,500.000992,1500.345728,0.8563,860
59.0,199.99512,600.16992,0.835,862
58.0,500.000992,1500.398464,0.8563,864
58.0,500.000992,1500.398464,0.8563,866
58.0,199.99512,600.16992,0.835,868
58.0,500.000992,1500.398464,0.8563,870
58.0,499.987808,1500.398464,0.8563,872
58.0,199.99512,600.117184,0.835,874
59.0,500.000992,1500.398464,0.8563,876
59.0,500.000992,1500.345728,0.8563,878
59.0,199.99512,600.16992,0.835,880
59.0,500.000992,1500.398464,0.8563,882
57.0,500.000992,1500.398464,0.8563,884
58.0,199.99512,600.16992,0.835,886
58.0,499.987808,1500.345728,0.8563,888
59.0,500.000992,1500.345728,0.8563,890
58.0,199.99512,600.16992,0.835,892
59.0,499.987808,1500.398464,0.8563,894
59.0,500.000992,1500.398464,0.8563,896
58.0,200.008304,600.117184,0.8563,898
58.0,200.008304,600.16992,0.835,900
57.0,199.99512,600.16992,0.835,902
58.0,500.000992,1500.345728,0.8563,904
59.0,500.000992,1500.398464,0.8563,906
58.0,250.000496,750.146496,0.8563,908
58.0,500.000992,1500.345728,0.8563,910
59.0,500.000992,1500.398464,0.8563,912
57.0,199.99512,600.117184,0.835,914
58.0,500.000992,1500.398464,0.8563,916
57.0,500.000992,1500.398464,0.8563,918
59.0,199.99512,600.16992,0.8563,920
57.0,500.000992,1500.345728,0.8563,922
59.0,500.000992,1500.345728,0.8563,924
58.0,199.99512,600.16992,0.835,926
58.0,200.008304,600.16992,0.835,928
59.0,500.000992,1500.345728,0.8563,930
59.0,500.000992,1500.398464,0.8563,932
57.0,200.008304,600.16992,0.835,934
60.0,500.000992,1500.398464,0.8563,936
58.0,500.000992,1500.398464,0.8563,938
58.0,200.008304,600.16992,0.835,940
59.0,499.987808,1500.345728,0.8563,942
59.0,500.000992,1500.345728,0.8563,944
58.0,199.99512,600.117184,0.835,946
58.0,199.99512,600.16992,0.835,948
59.0,500.000992,1500.345728,0.8563,950
